PayrollNumber,EmployeeID,AgencyID,TitleCode,FiscalYear,AgencyStartDate,WorkLocationBorough,AgencyCode,LeaveStatusasofJune30,BaseSalary,PayBasis,RegularHours,RegularGrossPaid,OTHours,TotalOTPaid,TotalOtherPay
816,353532,0.0,41011,2021,7/1/2009,QUEENS,2129.0,ACTIVE,229338.0,per Annum,2080.0,253899.23,145.75,18636.35,23582.98
816,58100,0.0,41011,2021,9/10/2018,MANHATTAN,2129.0,ACTIVE,238275.0,per Annum,2080.0,259607.51,268.75,32250.09,3044.57
827,313732,0.0,40809,2021,7/28/1997,BROOKLYN,2132.0,ACTIVE,108846.0,per Annum,2080.0,110726.63,1907.0,164673.96,18437.02
826,104722,0.0,40782,2021,7/17/2006,MANHATTAN,2131.0,ACTIVE,501.92,per Day,2080.0,130499.2,1171.5,113120.9,50058.35
996,224802,0.0,40812,2021,5/18/1998,QUEENS,2153.0,ACTIVE,460.25,per Day,1820.0,119629.9,1502.5,147508.09,25353.08
816,294118,0.0,41011,2021,8/4/2014,MANHATTAN,2129.0,ACTIVE,238275.0,per Annum,2080.0,263716.96,0.0,102.85,26092.34
72,310260,0.0,40614,2021,12/1/2008,QUEENS,2017.0,ACTIVE,478.0,per Day,2080.0,124280.0,1496.25,136939.12,28268.75
742,290126,0.0,40137,2021,4/2/2018,MANHATTAN,2053.0,CEASED,363346.0,per Annum,0.0,272509.56,0.0,0.0,16696.67
816,328990,0.0,40614,2021,11/16/2015,MANHATTAN,2129.0,ACTIVE,478.0,per Day,2080.0,124280.0,1536.75,137671.82,26895.02
72,181316,0.0,40782,2021,5/8/2017,MANHATTAN,2017.0,ACTIVE,508.8,per Day,2080.0,132288.0,1310.5,126953.55,29075.03
816,310434,0.0,40782,2021,7/1/2013,MANHATTAN,2129.0,ACTIVE,508.8,per Day,2080.0,132288.0,1191.0,116270.34,38104.45
816,375674,0.0,40747,2021,6/24/2007,MANHATTAN,2129.0,ACTIVE,603.84,per Day,2080.0,156998.4,1116.5,124485.39,4528.8
816,217792,0.0,40257,2021,1/5/2004,QUEENS,2129.0,ACTIVE,213294.0,per Annum,2080.0,236257.2,452.0,48859.58,225.43
2,399268,0.0,40497,2021,12/31/2017,MANHATTAN,2041.0,ACTIVE,291139.0,per Annum,1820.0,290319.68,0.0,0.0,-5577.4
816,385940,0.0,40257,2021,9/14/1998,QUEENS,2129.0,ON SEPARATION LEAVE,84.62,per Hour,2009.0,187944.49,866.25,82287.14,12539.96
816,36198,0.0,41011,2021,7/3/2006,MANHATTAN,2129.0,ACTIVE,238275.0,per Annum,2080.0,260751.37,-27.0,-1983.53,23643.93
827,36130,0.0,40809,2021,8/21/2000,QUEENS,2132.0,ACTIVE,108846.0,per Annum,2080.0,110726.63,1808.0,153392.57,18034.19
827,307502,0.0,40809,2021,7/24/2000,BROOKLYN,2132.0,ACTIVE,108846.0,per Annum,2080.0,110726.63,1791.0,153452.2,17799.64
827,258732,0.0,40809,2021,10/18/1999,QUEENS,2132.0,ACTIVE,108846.0,per Annum,2080.0,110306.9,1894.0,161609.68,9623.13
463,82018,0.0,40640,2021,8/17/2015,BRONX,2093.0,ACTIVE,226000.0,per Annum,1820.0,225375.67,0.0,0.0,55670.5
469,203774,0.0,40640,2021,8/17/2020,QUEENS,2099.0,ACTIVE,270000.0,per Annum,1575.0,233013.6,0.0,0.0,47246.6
57,390038,0.0,40241,2021,7/7/1999,BROOKLYN,2012.0,ACTIVE,235462.0,per Annum,2080.0,162911.44,1564.92,110078.87,6532.24
816,284796,0.0,40782,2021,8/12/2019,MANHATTAN,2129.0,ACTIVE,508.8,per Day,2080.0,132288.0,1208.75,118173.57,28313.72
827,307342,0.0,40809,2021,11/15/2004,QUEENS,2132.0,ACTIVE,108846.0,per Annum,2080.0,110726.63,1796.0,151311.33,16643.84
996,34400,0.0,40222,2021,9/3/2019,BRONX,2153.0,ACTIVE,375.06,per Day,1820.0,97141.89,2064.0,171293.52,10184.41
868,98108,0.0,40782,2021,4/1/1986,MANHATTAN,2141.0,ACTIVE,508.8,per Day,2080.0,132288.0,1138.5,108461.85,37739.89
816,115990,0.0,41011,2021,11/5/2018,MANHATTAN,2129.0,CEASED,238275.0,per Annum,2080.0,258467.67,122.75,14935.57,3874.98
868,121346,0.0,40782,2021,9/19/2016,BROOKLYN,2141.0,ACTIVE,508.8,per Day,2080.0,132288.0,1108.0,110045.49,34549.61
827,208876,0.0,41125,2021,5/3/2004,RICHMOND,2132.0,ACTIVE,132309.0,per Annum,2080.0,134594.25,1295.5,134122.99,7820.23
466,207168,0.0,40640,2021,9/1/2020,MANHATTAN,2096.0,ACTIVE,275000.0,per Annum,1498.0,225726.08,0.0,0.0,49731.8
816,348494,0.0,41011,2021,7/2/2012,BROOKLYN,2129.0,ACTIVE,229338.0,per Annum,2080.0,253899.62,0.0,24.48,21353.22
816,355076,0.0,41011,2021,7/1/2013,MANHATTAN,2129.0,ACTIVE,229338.0,per Annum,2080.0,253843.03,0.0,0.0,21230.51
72,292226,0.0,40614,2021,8/8/2016,QUEENS,2017.0,ACTIVE,478.0,per Day,2080.0,124280.0,1337.0,121611.7,28736.27
901,222850,0.0,41252,2021,8/26/1985,MANHATTAN,2142.0,ACTIVE,200000.0,per Annum,1820.0,199437.01,0.0,0.0,75000.0
3,224468,0.0,40304,2021,7/3/2005,MANHATTAN,2042.0,ACTIVE,117519.0,per Annum,1820.0,117188.28,2113.5,153333.23,1717.58
816,313250,0.0,41011,2021,10/22/2018,BROOKLYN,2129.0,ACTIVE,238275.0,per Annum,2080.0,258825.06,56.5,6447.57,4537.68
4,222308,0.0,40092,2021,1/29/1989,MANHATTAN,2043.0,ON SEPARATION LEAVE,189238.0,per Annum,1820.0,188705.28,26.25,2850.83,77794.49
996,243150,0.0,40831,2021,3/8/2010,MANHATTAN,2153.0,ACTIVE,387.03,per Day,1820.0,99115.3,1533.0,166984.21,2613.92
827,398464,0.0,40809,2021,9/24/2012,QUEENS,2132.0,ACTIVE,108846.0,per Annum,2080.0,108326.62,1876.0,153590.47,6699.2
868,174766,0.0,40782,2021,9/21/2015,MANHATTAN,2141.0,ACTIVE,508.8,per Day,2080.0,132288.0,1150.5,106996.14,29085.49
827,168952,0.0,40809,2021,3/22/2004,BRONX,2132.0,ACTIVE,108846.0,per Annum,2080.0,110726.63,1685.0,141839.62,15580.89
827,139910,0.0,40809,2021,9/5/2000,BRONX,2132.0,ACTIVE,108846.0,per Annum,2080.0,110726.63,1615.02,138991.53,18294.71
836,336764,0.0,41149,2021,2/19/2013,BRONX,2134.0,ACTIVE,108784.0,per Annum,2000.0,106486.42,1892.25,152448.05,7939.16
72,324158,0.0,40864,2021,10/11/2001,QUEENS,2017.0,ACTIVE,128355.0,per Annum,2080.0,127452.46,1825.75,123102.65,16305.89
57,349374,0.0,40824,2021,1/9/1980,QUEENS,2012.0,ACTIVE,148202.0,per Annum,2080.0,147784.86,1036.25,110702.16,7893.46
868,378730,0.0,40614,2021,6/22/2009,MANHATTAN,2141.0,ACTIVE,478.0,per Day,2080.0,124280.0,1197.0,108288.51,33725.26
468,338960,0.0,40640,2021,1/15/2002,BRONX,2098.0,ACTIVE,260000.0,per Annum,1650.0,235068.43,0.0,0.0,31019.2
846,246242,0.0,40782,2021,10/29/2018,MANHATTAN,2136.0,ACTIVE,508.8,per Day,2080.0,132288.0,1111.5,105286.62,27670.21
827,377510,0.0,40809,2021,6/1/1983,BROOKLYN,2132.0,ACTIVE,108846.0,per Annum,2080.0,110726.63,1578.0,135634.66,18720.47
57,72476,0.0,40207,2021,1/16/1994,RICHMOND,2012.0,ACTIVE,135511.0,per Annum,2080.0,146527.13,915.15,83800.55,34068.97
15,405782,0.0,40390,2021,9/12/2010,MANHATTAN,2051.0,ACTIVE,265000.0,per Annum,1820.0,264254.05,0.0,0.0,0.0
15,214166,0.0,40538,2021,2/22/2005,MANHATTAN,2051.0,ACTIVE,265000.0,per Annum,1820.0,264254.05,0.0,0.0,0.0
72,275942,0.0,40824,2021,10/16/1996,QUEENS,2017.0,ACTIVE,511.76,per Day,2080.0,133057.6,1382.0,129568.6,1463.31
816,391140,0.0,40257,2021,5/4/2015,QUEENS,2129.0,ACTIVE,94.3,per Hour,1765.0,183191.01,849.5,83468.32,-2723.68
816,250212,0.0,41011,2021,7/2/2018,MANHATTAN,2129.0,ACTIVE,238275.0,per Annum,2080.0,260157.37,0.0,47.63,3641.46
742,315726,0.0,40642,2021,9/17/1984,OTHER,2053.0,CEASED,192578.0,per Annum,0.0,111750.02,0.0,0.0,152036.6
868,400004,0.0,40782,2021,10/23/2002,MANHATTAN,2141.0,ACTIVE,508.8,per Day,2080.0,132288.0,1089.25,102721.95,28625.41
57,345832,0.0,40440,2021,9/14/2015,QUEENS,2012.0,ACTIVE,427.35,per Day,1820.0,110977.0,1567.75,143239.77,9311.48
72,390816,0.0,40440,2021,2/19/2008,QUEENS,2017.0,ACTIVE,427.35,per Day,1820.0,110977.0,1397.75,127746.09,23936.82
816,366868,0.0,40257,2021,8/14/2017,QUEENS,2129.0,ACTIVE,99.62,per Hour,2005.0,220675.63,515.0,51458.78,-9809.05
57,24594,0.0,40587,2021,7/5/1992,RICHMOND,2012.0,ACTIVE,103195.0,per Annum,2080.0,102904.44,2872.0,139592.82,19616.8
56,220032,0.0,40782,2021,6/3/2013,MANHATTAN,2010.0,ACTIVE,508.8,per Day,2080.0,132288.0,1217.5,116052.51,13357.38
57,265326,0.0,40440,2021,1/20/2005,QUEENS,2012.0,ACTIVE,427.35,per Day,1820.0,110977.0,1348.5,123314.08,27350.6
996,326020,0.0,40628,2021,4/14/2003,BROOKLYN,2153.0,ACTIVE,369.53,per Day,1820.0,96077.8,1527.75,161299.85,4117.62
868,339386,0.0,40782,2021,7/24/2006,BROOKLYN,2141.0,ACTIVE,508.8,per Day,2080.0,132288.0,1068.0,101041.32,27558.3
57,388000,0.0,40207,2021,8/8/1999,QUEENS,2012.0,ACTIVE,135511.0,per Annum,2080.0,146527.13,994.18,80639.34,33180.62
57,202402,0.0,40207,2021,7/9/1995,MANHATTAN,2012.0,ACTIVE,135511.0,per Annum,2080.0,146527.13,846.12,78077.87,35047.48
826,353736,0.0,40782,2021,6/2/2008,RICHMOND,2131.0,ACTIVE,501.92,per Day,2080.0,131554.7,769.8,74271.26,53674.67
72,28538,0.0,40864,2021,6/1/2000,QUEENS,2017.0,ACTIVE,128355.0,per Annum,2080.0,127452.46,1408.0,118446.72,13409.33
72,164144,0.0,40864,2021,3/4/2004,QUEENS,2017.0,ACTIVE,128355.0,per Annum,2080.0,127452.46,2161.0,111907.5,19537.03
868,52830,0.0,40782,2021,5/31/2016,MANHATTAN,2141.0,ACTIVE,508.8,per Day,2080.0,132288.0,901.25,90004.07,36369.1
57,174178,0.0,40207,2021,8/19/1990,BROOKLYN,2012.0,ACTIVE,135511.0,per Annum,2080.0,146527.13,833.63,77912.32,34206.86
56,302174,0.0,40579,2021,6/30/1998,MANHATTAN,2010.0,ACTIVE,149068.0,per Annum,2080.0,147066.63,950.08,90551.25,20495.26
56,229552,0.0,40782,2021,2/12/2018,MANHATTAN,2010.0,ACTIVE,508.8,per Day,2080.0,131779.2,1085.25,102184.53,24136.67
45,229552,0.0,40782,1999,2/12/2018,MANHATTAN,2010.0,ACTIVE,508.8,per Day,2080.0,131779.2,1085.25,102184.53,24136.67
